time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-02-09T07:24:47.614Z,-6.3997,129.8761,166.21,5.2,mww,,30,2.113,1.01,us,us6000dfuw,2021-02-09T17:41:41.040Z,Banda Sea,earthquake,7.5,4.2,0.059,28,reviewed,us,us
2021-02-09T07:07:58.892Z,31.352,140.6425,76.14,5.2,mww,,66,1.893,0.99,us,us6000dfuq,2021-02-10T06:31:17.035Z,"Izu Islands, Japan region",earthquake,7.1,5.8,0.093,11,reviewed,us,us
2021-02-09T04:48:21.168Z,41.3377,143.4866,39.48,4.8,mb,,136,0.72,0.38,us,us6000dftq,2021-02-10T05:31:15.040Z,"144 km SE of Shizunai-furukawachō, Japan",earthquake,7.6,7.6,0.118,22,reviewed,us,us
2021-02-09T04:37:50.480Z,9.4814,-85.6366,10,4.5,mb,,125,1.049,0.4,us,us6000dft3,2021-02-10T05:14:17.496Z,"45 km SSW of Sámara, Costa Rica",earthquake,3.8,1.9,0.1,29,reviewed,us,us
2021-02-09T03:39:28.740Z,30.0669,130.9986,35,4.9,mb,,97,1.512,0.53,us,us6000dfsx,2021-02-10T04:57:25.040Z,"48 km ESE of Koshima, Japan",earthquake,5.7,1.9,0.061,84,reviewed,us,us
2021-02-09T02:55:47.985Z,-5.1821,151.7511,53,5.6,mww,,16,1.066,0.81,us,us6000dfsv,2021-02-10T04:41:49.068Z,"109 km SSW of Kokopo, Papua New Guinea",earthquake,8.4,1.8,0.051,37,reviewed,us,us
2021-02-09T02:51:14.239Z,19.102,121.1676,34.92,5,mb,,123,3.698,0.65,us,us6000dfsr,2021-02-10T04:34:45.040Z,"54 km N of Namuac, Philippines",earthquake,8.7,4.7,0.087,42,reviewed,us,us
2021-02-09T01:40:55.888Z,-5.4478,-77.3292,10.63,5.1,mb,,53,3.531,0.72,us,us6000dfsf,2021-02-10T03:41:06.528Z,"60 km N of Segunda Jerusalén - Azunguillo, Peru",earthquake,6.9,3.7,0.026,491,reviewed,us,us
2021-02-09T01:22:24.447Z,-10.4821,161.4152,35,4.9,mb,,99,1.779,0.54,us,us6000dfs9,2021-02-09T02:53:42.040Z,"55 km W of Kirakira, Solomon Islands",earthquake,10.8,2,0.077,53,reviewed,us,us
2021-02-09T00:17:51.290Z,-52.8613,27.7845,10,4.9,mb,,56,16.823,0.68,us,us6000dfry,2021-02-09T02:02:30.040Z,south of Africa,earthquake,8.1,1.9,0.099,32,reviewed,us,us
2021-02-08T23:24:39.944Z,11.9833,120.8296,10,5,mww,,32,6.765,0.77,us,us6000dfr7,2021-02-09T02:24:35.040Z,"42 km SW of Santa Teresa, Philippines",earthquake,7.7,1.8,0.089,12,reviewed,us,us
2021-02-08T22:35:39.972Z,43.5338,146.5466,86.04,4.5,mb,,157,2.92,1.04,us,us6000dfqr,2021-02-08T23:17:20.040Z,"32 km SSW of Shikotan, Russia",earthquake,10.9,6.5,0.071,59,reviewed,us,us
2021-02-08T21:10:59.747Z,-16.474,-72.0477,103.95,5.1,mb,,133,2.492,1.06,us,us6000dfq8,2021-02-08T22:23:56.426Z,"4 km ENE of Santa Rita de Siguas, Peru",earthquake,8.1,7.6,0.067,71,reviewed,us,us
2021-02-08T21:04:09.555Z,5.5713,-82.7898,10,4.7,mb,,144,2.869,0.64,us,us6000dfqb,2021-02-08T21:59:36.040Z,"272 km S of Punta de Burica, Panama",earthquake,8.7,1.9,0.078,50,reviewed,us,us
2021-02-08T20:08:09.095Z,-18.8807,-172.5703,10,5.1,mb,,100,2.508,1.11,us,us6000dfpr,2021-02-08T20:32:04.040Z,"151 km E of Neiafu, Tonga",earthquake,10.5,1.9,0.138,20,reviewed,us,us
2021-02-08T16:58:04.000Z,24.3925,122.0533,30.92,5.2,mww,,57,0.471,0.74,us,us6000dfmm,2021-02-09T17:03:53.332Z,"50 km SE of Yilan, Taiwan",earthquake,4.3,4.4,0.054,33,reviewed,us,us
